sent-id,token,pos,label,entity,flag
anem-sent-1,Obstructive,JJ,O,O,False
anem-sent-1,nephropathy,NN,O,O,False
anem-sent-1,:,:,O,O,False
anem-sent-1,lessons,NNS,O,O,False
anem-sent-1,from,IN,O,O,False
anem-sent-1,cystic,JJ,O,PATHOLOGICAL_FORMATION,False
anem-sent-1,kidney,NN,B-ANATOMICAL-ENTITY,ORGAN,True
anem-sent-1,disease,NN,O,O,False
anem-sent-1,.,.,O,O,False
anem-sent-2,Obstructive,NNP,O,O,False
anem-sent-2,nephropathy,NN,O,O,False
anem-sent-2,is,VBZ,O,O,False
anem-sent-2,one,CD,O,O,False
anem-sent-2,of,IN,O,O,False
anem-sent-2,the,DT,O,O,False
anem-sent-2,most,RBS,O,O,False
anem-sent-2,important,JJ,O,O,False
anem-sent-2,causes,NNS,O,O,False
anem-sent-2,of,IN,O,O,False
anem-sent-2,renal,JJ,B-ANATOMICAL-ENTITY,ORGAN,True
anem-sent-2,failure,NN,O,O,False
anem-sent-2,in,IN,O,O,False
anem-sent-2,infants,NNS,O,O,False
anem-sent-2,and,CC,O,O,False
anem-sent-2,children,NNS,O,O,False
anem-sent-2,",",",",O,O,False
anem-sent-2,while,IN,O,O,False
anem-sent-2,polycystic,JJ,O,PATHOLOGICAL_FORMATION,False
anem-sent-2,kidney,NN,B-ANATOMICAL-ENTITY,ORGAN,True
anem-sent-2,disease,NN,O,O,False
anem-sent-2,(,(,O,O,False
anem-sent-2,PKD,NNP,O,O,False
anem-sent-2,),),O,O,False
anem-sent-2,is,VBZ,O,O,False
anem-sent-2,a,DT,O,O,False
anem-sent-2,major,JJ,O,O,False
anem-sent-2,cause,NN,O,O,False
anem-sent-2,of,IN,O,O,False
anem-sent-2,renal,JJ,B-ANATOMICAL-ENTITY,ORGAN,True
anem-sent-2,failure,NN,O,O,False
anem-sent-2,in,IN,O,O,False
anem-sent-2,the,DT,O,O,False
anem-sent-2,adult,NN,O,O,False
anem-sent-2,population,NN,O,O,False
anem-sent-2,.,.,O,O,False
anem-sent-4,In,IN,O,O,False
anem-sent-4,animal,JJ,O,O,False
anem-sent-4,models,NNS,O,O,False
anem-sent-4,of,IN,O,O,False
anem-sent-4,obstructive,JJ,O,O,False
anem-sent-4,nephropathy,NN,O,O,False
anem-sent-4,and,CC,O,O,False
anem-sent-4,PKD,NNP,O,O,False
anem-sent-4,",",",",O,O,False
anem-sent-4,the,DT,O,O,False
anem-sent-4,renal,JJ,B-ANATOMICAL-ENTITY,MULTI-TISSUE_STRUCTURE,True
anem-sent-4,tubular,JJ,I-ANATOMICAL-ENTITY,MULTI-TISSUE_STRUCTURE,True
anem-sent-4,expression,NN,O,O,False
anem-sent-4,of,IN,O,O,False
anem-sent-4,epidermal,JJ,O,O,False
anem-sent-4,growth,NN,O,O,False
